"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"mcs_vc5_43pancake","Integer","","Recommended","Food and Drink. pancake","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_135,i_a_5_43,say_pancake"
"mcs_vc5_44peanutbutter","Integer","","Recommended","Food and Drink. peanutbutter","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_136,i_a_5_44,say_peanut_butter"
"mcs_vc5_45peas","Integer","","Recommended","Food and Drink. peas","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_137,i_a_5_45,say_peas"
"mcs_vc5_46pickle","Integer","","Recommended","Food and Drink. pickle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_138,i_a_5_46,say_pickle"
"mcs_vc5_47pizza","Integer","","Recommended","Food and Drink. pizza","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_139,i_a_5_47,say_pizza"
"mcs_vc5_48popcorn","Integer","","Recommended","Food and Drink. popcorn","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_140,i_a_5_48,say_popcorn"
"mcs_vc5_49popsicle","Integer","","Recommended","Food and Drink. popsicle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_141,i_a_5_49,say_popsicle"
"mcs_vc5_50potato","Integer","","Recommended","Food and Drink. potato","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_142,i_a_5_50,say_potato"
"mcs_vc5_51potatochip","Integer","","Recommended","Food and Drink. potatochip","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_143,i_a_5_51,say_potato_chip"
"mcs_vc5_52pretzel","Integer","","Recommended","Food and Drink. pretzel","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_144,i_a_5_52,say_pretzel"
"mcs_vc5_53pudding","Integer","","Recommended","Food and Drink. pudding","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_145,i_a_5_53,say_pudding"
"mcs_vc5_54pumpkin","Integer","","Recommended","Food and Drink. pumpkin","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_146,i_a_5_54,say_pumpkin"
"mcs_vc5_55raisin","Integer","","Recommended","Food and Drink. raisin","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_147,i_a_5_55,say_raisin"
"mcs_vc5_56salt","Integer","","Recommended","Food and Drink. salt","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_148,i_a_5_56,say_salt"
"mcs_vc5_57sandwich","Integer","","Recommended","Food and Drink. sandwich","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_149,i_a_5_57,say_sandwich"
"mcs_vc5_58sauce","Integer","","Recommended","Food and Drink. sauce","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_150,i_a_5_58,say_sauce"
"mcs_vc5_59sodapop","Integer","","Recommended","Food and Drink. soda/pop","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_151,i_a_5_59,say_soda"
"mcs_vc5_60soup","Integer","","Recommended","Food and Drink. soup","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_152,i_a_5_60,say_soup"
"mcs_vc5_61spaghetti","Integer","","Recommended","Food and Drink. spaghetti","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_153,i_a_5_61,say_spaghetti"
"mcs_vc5_62strawberry","Integer","","Recommended","Food and Drink. strawberry","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_154,i_a_5_62,say_strawberry"
"mcs_vc5_63toast","Integer","","Recommended","Food and Drink. toast","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_155,i_a_5_63,say_toast"
"mcs_vc5_64tuna","Integer","","Recommended","Food and Drink. tuna","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_156,i_a_5_64,say_tuna"
"mcs_vc5_65vanilla","Integer","","Recommended","Food and Drink. vanilla","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_157,i_a_5_65,say_vanilla"
"mcs_vc5_66vitamins","Integer","","Recommended","Food and Drink. vitamins","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_158,i_a_5_66,say_vitamins"
"mcs_vc5_67water","Integer","","Recommended","Food and Drink. water","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_159,i_a_5_67,say_water"
"mcs_vc5_68yogurt","Integer","","Recommended","Food and Drink. yogurt","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_160,i_a_5_68,say_yogurt"
"mcs_vc6_1beads","Integer","","Recommended","Clothinq. beads","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_162,i_a_6_1�,say_beads"
"mcs_vc6_2belt","Integer","","Recommended","Clothinq. belt","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_163,i_a_6_2�,say_belt"
"mcs_vc6_3bib","Integer","","Recommended","Clothinq. bib","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_164,i_a_6_3�,say_bib"
"mcs_vc6_4boots","Integer","","Recommended","Clothinq. boots","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_165,i_a_6_4�,say_boots"
"mcs_vc6_5button","Integer","","Recommended","Clothinq. button","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_166,i_a_6_5�,say_button"
"mcs_vc6_6coat","Integer","","Recommended","Clothinq. coat","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_167,i_a_6_6�,say_coat"
"mcs_vc6_7diaper","Integer","","Recommended","Clothinq. diaper","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_168,i_a_6_7�,say_diaper"
"mcs_vc6_8dress","Integer","","Recommended","Clothinq. dress","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_169,i_a_6_8�,say_dress"
"mcs_vc6_9gloves","Integer","","Recommended","Clothinq. gloves","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_170,i_a_6_9�,say_gloves"
"mcs_vc6_10hat","Integer","","Recommended","Clothinq. hat","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_171,i_a_6_10,say_hat"
"mcs_vc6_11jacket","Integer","","Recommended","Clothinq. jacket","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_172,i_a_6_11,say_jacket"
"mcs_vc6_12jeans","Integer","","Recommended","Clothinq. jeans","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_173,i_a_6_12,say_jeans"
"mcs_vc6_13mittens","Integer","","Recommended","Clothinq. mittens","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_174,i_a_6_13,say_mittens"
"mcs_vc6_14necklace","Integer","","Recommended","Clothinq. necklace","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_175,i_a_6_14,say_necklace"
"mcs_vc6_15pajamas","Integer","","Recommended","Clothinq. pajamas","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_176,i_a_6_15,say_pajamas"
"mcs_vc6_16pants","Integer","","Recommended","Clothinq. pants","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_177,i_a_6_16,say_pants"
"mcs_vc6_17scarf","Integer","","Recommended","Clothinq. scarf","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_178,i_a_6_17,say_scarf"
"mcs_vc6_18shirt","Integer","","Recommended","Clothinq. shirt","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_179,i_a_6_18,say_shirt"
"mcs_vc6_19shoe","Integer","","Recommended","Clothinq. shoe","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_180,i_a_6_19,say_shoe"
"mcs_vc6_20shorts","Integer","","Recommended","Clothinq. shorts","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_181,i_a_6_20,say_shorts"
"mcs_vc6_21slipper","Integer","","Recommended","Clothinq. slipper","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_182,i_a_6_21,say_slipper"
"mcs_vc6_22sneaker","Integer","","Recommended","Clothinq. sneaker","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_183,i_a_6_22,say_sneaker"
"mcs_vc6_23snowsuit","Integer","","Recommended","Clothinq. snowsuit","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_184,i_a_6_23,say_snowsuit"
"mcs_vc6_24sock","Integer","","Recommended","Clothinq. sock","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_185,i_a_6_24,say_sock"
"mcs_vc6_25sweater","Integer","","Recommended","Clothinq. sweater","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_186,i_a_6_25,say_sweater"
"mcs_vc6_26tights","Integer","","Recommended","Clothinq. tights","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_187,i_a_6_26,say_tights"
"mcs_vc6_27underpants","Integer","","Recommended","Clothinq. underpants","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_188,i_a_6_27,say_underpants"
"mcs_vc6_28zipper","Integer","","Recommended","Clothinq. zipper","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_189,i_a_6_28,say_zipper"
"mcs_vc7_1ankle","Integer","","Recommended","Body Parts. ankle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_191,i_a_7_1�,say_ankle"
"mcs_vc7_2arm","Integer","","Recommended","Body Parts. arm","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_192,i_a_7_2�,say_arm"
"mcs_vc7_3bellybutton","Integer","","Recommended","Body Parts. belly button","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_193,i_a_7_3�,say_belly_button"
"mcs_vc7_4buttocks_bottom","Integer","","Recommended","Body Parts. buttocks/bottom","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_194,i_a_7_4�,say_bottom"
"mcs_vc7_5cheek","Integer","","Recommended","Body Parts. cheek","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_195,i_a_7_5�,say_cheek"
"mcs_vc7_6chin","Integer","","Recommended","Body Parts. chin","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_196,i_a_7_6�,say_chin"
"mcs_vc7_7ear","Integer","","Recommended","Body Parts. ear","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_197,i_a_7_7�,say_ear"
"mcs_vc7_8eye","Integer","","Recommended","Body Parts. eye","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_198,i_a_7_8�,say_eye"
"mcs_vc7_9face","Integer","","Recommended","Body Parts. face","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_199,i_a_7_9�,say_face"
"mcs_vc7_10feet","Integer","","Recommended","Body Parts. feet","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_200,i_a_7_10,say_feet"
"mcs_vc7_11finger","Integer","","Recommended","Body Parts. finger","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_201,i_a_7_11,say_finger"
"mcs_vc7_12hair","Integer","","Recommended","Body Parts. hair","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_202,i_a_7_12,say_hair"
"mcs_vc7_13hand","Integer","","Recommended","Body Parts. hand","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_203,i_a_7_13,say_hand"
"mcs_vc7_14head","Integer","","Recommended","Body Parts. head","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_204,i_a_7_14,say_head"
"mcs_vc7_15knee","Integer","","Recommended","Body Parts. knee","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_205,i_a_7_15,say_knee"
"mcs_vc7_16leg","Integer","","Recommended","Body Parts. leg","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_206,i_a_7_16,say_leg"
"mcs_vc7_17lips","Integer","","Recommended","Body Parts. lips","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_207,i_a_7_17,say_lips"
"mcs_vc7_18mouth","Integer","","Recommended","Body Parts. mouth","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_208,i_a_7_18,say_mouth"
"mcs_vc7_19nose","Integer","","Recommended","Body Parts. nose","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_209,i_a_7_19,say_nose"
"mcs_vc7_20owie_booboo","Integer","","Recommended","Body Parts. owie  booboo","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_210,i_a_7_20,say_owie"
"mcs_vc7_21penis","Integer","","Recommended","Body Parts. penis","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_211,i_a_7_21,say_penis"
"mcs_vc7_22shoulder","Integer","","Recommended","Body Parts. shoulder","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_212,i_a_7_22,say_shoulder"
"mcs_vc7_23tooth","Integer","","Recommended","Body Parts. tooth","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_213,i_a_7_23,say_tooth"
"mcs_vc7_24toe","Integer","","Recommended","Body Parts. toe","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_214,i_a_7_24,say_toe"
"mcs_vc7_25tongue","Integer","","Recommended","Body Parts. tongue","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_215,i_a_7_25,say_tongue"
"mcs_vc7_26tummy","Integer","","Recommended","Body Parts. tummy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_216,i_a_7_26,say_tummy"
"mcs_vc7_27vagina","Integer","","Recommended","Body Parts. vagina","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_217,i_a_7_27,say_vagina"
"mcs_vc8_1basket","Integer","","Recommended","Small Household Items. basket","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_219,i_a_8_1�,say_basket"
"mcs_vc8_2blanket","Integer","","Recommended","Small Household Items. blanket","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_220,i_a_8_2�,say_blanket"
"mcs_vc8_3bottle","Integer","","Recommended","Small Household Items. bottle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_221,i_a_8_3�,say_bottle"
"mcs_vc8_4box","Integer","","Recommended","Small Household Items. box","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_222,i_a_8_4�,say_box"
"mcs_vc8_5bowl","Integer","","Recommended","Small Household Items. 5bowl","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_223,i_a_8_5�,say_bowl"
"mcs_vc8_6broom","Integer","","Recommended","Small Household Items. broom","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_224,i_a_8_6�,say_broom"
"mcs_vc8_7brush","Integer","","Recommended","Small Household Items. brush","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_225,i_a_8_7�,say_brush"
"mcs_vc8_8bucket","Integer","","Recommended","Small Household Items. bucket","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_226,i_a_8_8�,say_bucket"
"mcs_vc8_9camera","Integer","","Recommended","Small Household Items. camera","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_227,i_a_8_9�,say_camera"
"mcs_vc8_10can","Integer","","Recommended","Small Household Items. can","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_228,i_a_8_10,say_can"
"mcs_vc8_11clock","Integer","","Recommended","Small Household Items. clock","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_229,i_a_8_11,say_clock"
"mcs_vc8_12comb","Integer","","Recommended","Small Household Items. comb","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_230,i_a_8_12,say_comb"
"mcs_vc8_13cup","Integer","","Recommended","Small Household Items. cup","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_231,i_a_8_13,say_cup"
"mcs_vc8_14dish","Integer","","Recommended","Small Household Items. dish","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_232,i_a_8_14,say_dish"
"mcs_vc8_15fork","Integer","","Recommended","Small Household Items. fork","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_233,i_a_8_15,say_fork"
"mcs_vc8_16garbage","Integer","","Recommended","Small Household Items. garbage","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_234,i_a_8_16,say_garbage"
"mcs_vc8_17glass","Integer","","Recommended","Small Household Items. glass","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_235,i_a_8_17,say_glass"
"mcs_vc8_18glasses","Integer","","Recommended","Small Household Items. glasses","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_236,i_a_8_18,say_glasses"
"mcs_vc8_19hammer","Integer","","Recommended","Small Household Items. hammer","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_237,i_a_8_19,say_hammer"
"mcs_vc8_20jar","Integer","","Recommended","Small Household Items. jar","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_238,i_a_8_20,say_jar"
"mcs_vc8_21keys","Integer","","Recommended","Small Household Items. keys","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_239,i_a_8_21,say_keys"
"mcs_vc8_22knife","Integer","","Recommended","Small Household Items. knife","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_240,i_a_8_22,say_knife"
"mcs_vc8_23lamp","Integer","","Recommended","Small Household Items. lamp","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_241,i_a_8_23,say_lamp"
"mcs_vc8_24light","Integer","","Recommended","Small Household Items. light","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_242,i_a_8_24,say_light"
"mcs_vc8_25medicine","Integer","","Recommended","Small Household Items. medicine","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_243,i_a_8_25,say_medicine"
"mcs_vc8_26money","Integer","","Recommended","Small Household Items. money","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_244,i_a_8_26,say_money"
"mcs_vc8_27mop","Integer","","Recommended","Small Household Items. mop","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_245,i_a_8_27,say_mop"
"mcs_vc8_28nail","Integer","","Recommended","Small Household Items. nail","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_246,i_a_8_28,say_nail"
"mcs_vc8_29napkin","Integer","","Recommended","Small Household Items. napkin","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_247,i_a_8_29,say_napkin"
"mcs_vc8_30paper","Integer","","Recommended","Small Household Items. paper","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_248,i_a_8_30,say_paper"
"mcs_vc8_31penny","Integer","","Recommended","Small Household Items. penny","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_249,i_a_8_31,say_penny"
"mcs_vc8_32picture","Integer","","Recommended","Small Household Items. picture","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_250,i_a_8_32,say_picture"
"mcs_vc8_33pillow","Integer","","Recommended","Small Household Items. pillow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_251,i_a_8_33,say_pillow"
"mcs_vc8_34plant","Integer","","Recommended","Small Household Items. plant","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_252,i_a_8_34,say_plant"
"mcs_vc8_35plate","Integer","","Recommended","Small Household Items. plate","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_253,i_a_8_35,say_plate"
"mcs_vc8_36purse","Integer","","Recommended","Small Household Items. purse","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_254,i_a_8_36,say_purse"
"mcs_vc8_37radio","Integer","","Recommended","Small Household Items. radio","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_255,i_a_8_37,say_radio"
"mcs_vc8_38scissors","Integer","","Recommended","Small Household Items. scissors","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_256,i_a_8_38,say_scissors"
"mcs_vc8_39soap","Integer","","Recommended","Small Household Items. soap","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_257,i_a_8_39,say_soap"
"mcs_vc8_40spoon","Integer","","Recommended","Small Household Items. spoon","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_258,i_a_8_40,say_spoon"
"mcs_vc8_41tape","Integer","","Recommended","Small Household Items. tape","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_259,i_a_8_41,say_tape"
"mcs_vc8_42telephone","Integer","","Recommended","Small Household Items. telephone","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_260,i_a_8_42,say_telephone"
"mcs_vc8_43tissklee","Integer","","Recommended","Small Household Items. tissklee","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_261,i_a_8_43,say_tissue"
"mcs_vc8_44toothbrush","Integer","","Recommended","Small Household Items. toothbrush","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_262,i_a_8_44,say_toothbrush"
"mcs_vc8_45towel","Integer","","Recommended","Small Household Items. towel","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_263,i_a_8_45,say_towel"
"mcs_vc8_46trash","Integer","","Recommended","Small Household Items. trash","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_264,i_a_8_46,say_trash"
"mcs_vc8_47tray","Integer","","Recommended","Small Household Items. tray","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_265,i_a_8_47,say_tray"
"mcs_vc8_48vacuum","Integer","","Recommended","Small Household Items. vacuum","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_266,i_a_8_48,say_vacuum"
"mcs_vc8_49walker","Integer","","Recommended","Small Household Items. walker","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_267,i_a_8_49,say_walker"
"mcs_vc8_50watch","Integer","","Recommended","Small Household Items. watch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_268,i_a_8_50,say_watch"
"mcs_vc9_1basement","Integer","","Recommended","Furniture and Rooms. basement","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_270,i_a_9_1�,say_basement"
"mcs_vc9_2bathroom","Integer","","Recommended","Furniture and Rooms. bathroom","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_271,i_a_9_2�,say_bathroom"
"mcs_vc9_3bathtub","Integer","","Recommended","Furniture and Rooms. bathtub","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_272,i_a_9_3�,say_bathtub"
"mcs_vc9_4bed","Integer","","Recommended","Furniture and Rooms. bed","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_273,i_a_9_4�,say_bed"
"mcs_vc9_5bedroom","Integer","","Recommended","Furniture and Rooms. bedroom","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_274,i_a_9_5�,say_bedroom"
"mcs_vc9_6bench","Integer","","Recommended","Furniture and Rooms. bench","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_275,i_a_9_6�,say_bench"
"mcs_vc9_7chair","Integer","","Recommended","Furniture and Rooms. chair","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_276,i_a_9_7�,say_chair"
"mcs_vc9_8closet","Integer","","Recommended","Furniture and Rooms. closet","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_277,i_a_9_8�,say_closet"
"mcs_vc9_9couch","Integer","","Recommended","Furniture and Rooms. couch","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_278,i_a_9_9�,say_couch"
"mcs_vc9_10crib","Integer","","Recommended","Furniture and Rooms. crib","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_279,i_a_9_10,say_crib"
"mcs_vc9_11door","Integer","","Recommended","Furniture and Rooms. door","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_280,i_a_9_11,say_door"
"mcs_vc9_12drawer","Integer","","Recommended","Furniture and Rooms. drawer","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_281,i_a_9_12,say_drawer"
"mcs_vc9_13dryer","Integer","","Recommended","Furniture and Rooms. dryer","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_282,i_a_9_13,say_dryer"
"mcs_vc9_14garage","Integer","","Recommended","Furniture and Rooms. garage","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_283,i_a_9_14,say_garage"
"mcs_vc9_15highchair","Integer","","Recommended","Furniture and Rooms. highchair","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_284,i_a_9_15,say_high_chair"
